equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Montpellier Hérault Rugby,1,51 %,47 %,58 %,53 %,47 %,8,1,7,1,12,9,3,10,0,9,159,7,21,36,79,7 ,ASM Clermont,2025-11-01 16:35:00
ASM Clermont,0,49 %,53 %,42 %,47 %,53 %,11,1,8,2,15,10,2,8,3,7,113,4,18,36,135, 9,Montpellier Hérault Rugby,2025-11-01 16:35:00
Section Paloise,4,52 %,53 %,57 %,46 %,52 %,4,1,3,0,19,17,0,7,1,12,125,4,11,21,111,27 ,USA Perpignan,2025-11-01 16:35:00
USA Perpignan,2,48 %,47 %,43 %,54 %,48 %,10,2,5,3,11,8,1,2,3,15,129,6,16,22,123, 23,Section Paloise,2025-11-01 16:35:00
Stade Toulousain,4,68 %,70 %,84 %,29 %,70 %,8,2,4,2,19,16,2,3,1,7,64,6,4,29,171,29 ,Stade Français Paris,2025-11-01 21:00:00
Stade Français Paris,2,32 %,30 %,16 %,71 %,30 %,4,0,4,0,15,10,1,4,1,17,193,8,29,32,59, 17,Stade Toulousain,2025-11-01 21:00:00
Stade Rochelais,3,56 %,62 %,57 %,37 %,62 %,5,1,4,0,20,18,0,8,4,9,113,7,19,36,147,33 ,Racing 92,2025-11-02 21:05:00
Racing 92,0,44 %,38 %,43 %,63 %,38 %,8,3,3,2,18,17,0,6,2,10,129,12,35,29,121, 6,Stade Rochelais,2025-11-02 21:05:00
Union Bordeaux-Bègles,5,48 %,58 %,66 %,38 %,57 %,5,1,3,1,16,13,0,2,0,9,142,7,15,22,136,33 ,Section Paloise,2025-11-21 21:00:00
Section Paloise,3,52 %,42 %,34 %,62 %,43 %,5,0,4,1,10,8,2,5,5,6,154,1,20,35,128, 34,Union Bordeaux-Bègles,2025-11-21 21:00:00
LOU Rugby,6,53 %,50 %,55 %,52 %,49 %,6,1,5,0,9,7,2,4,1,9,142,6,16,25,146,43 ,ASM Clermont,2025-11-22 14:30:00
ASM Clermont,4,47 %,50 %,45 %,48 %,51 %,4,1,3,0,15,11,0,6,0,5,157,8,29,24,147, 24,LOU Rugby,2025-11-22 14:30:00
Racing 92,6,55 %,50 %,63 %,50 %,49 %,10,0,8,2,13,10,0,4,3,7,125,11,12,24,116,47 ,Aviron Bayonnais,2025-11-22 16:35:00
Aviron Bayonnais,3,45 %,50 %,37 %,50 %,51 %,8,4,3,1,12,8,2,5,2,13,131,5,23,17,109, 27,Racing 92,2025-11-22 16:35:00
Stade Rochelais,2,63 %,57 %,76 %,44 %,56 %,5,2,2,1,24,21,0,5,1,10,74,9,21,26,179,17 ,Castres Olympique,2025-11-22 16:35:00
Castres Olympique,1,37 %,43 %,24 %,56 %,44 %,6,1,3,2,13,11,3,2,4,17,176,10,12,31,97, 19,Stade Rochelais,2025-11-22 16:35:00
