equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Aviron Bayonnais,2,37 %,47 %,48 %,52 %,48 %,10,0,9,1,14,12,0,7,3,10,176,10,26,21,108,23 ,USA Perpignan,2024-05-18 17:00:00
USA Perpignan,2,63 %,53 %,52 %,48 %,52 %,9,1,6,2,17,16,1,9,2,10,67,8,13,10,201, 20,Aviron Bayonnais,2024-05-18 17:00:00
Oyonnax Rugby,2,49 %,54 %,71 %,46 %,55 %,4,0,4,0,19,13,0,6,1,9,113,5,18,30,112,17 ,RC Toulon,2024-05-18 17:00:00
RC Toulon,2,51 %,46 %,29 %,54 %,45 %,9,0,7,2,7,6,3,5,5,6,116,6,17,37,140, 27,Oyonnax Rugby,2024-05-18 17:00:00
ASM Clermont,5,57 %,56 %,71 %,45 %,57 %,7,1,5,1,16,13,3,3,1,12,87,10,19,29,145,36 ,Castres Olympique,2024-05-18 17:00:00
Castres Olympique,2,43 %,44 %,29 %,55 %,43 %,5,1,4,0,13,10,3,7,2,9,121,9,27,25,96, 20,ASM Clermont,2024-05-18 17:00:00
LOU Rugby,1,48 %,40 %,40 %,61 %,41 %,8,1,6,1,17,14,0,5,5,16,152,6,19,19,84,20 ,Racing 92,2024-05-18 17:00:00
Racing 92,2,52 %,60 %,60 %,39 %,59 %,7,2,5,0,20,19,1,5,0,14,100,5,19,21,140, 14,LOU Rugby,2024-05-18 17:00:00
Stade Rochelais,3,47 %,53 %,79 %,46 %,53 %,9,1,6,2,13,10,0,3,2,9,151,14,24,23,117,25 ,Section Paloise,2024-05-18 21:05:00
Section Paloise,2,53 %,47 %,21 %,54 %,47 %,4,2,0,2,16,16,1,5,3,13,125,11,12,29,181, 23,Stade Rochelais,2024-05-18 21:05:00
Stade Français Paris,3,48 %,50 %,61 %,49 %,51 %,11,1,10,0,14,12,2,4,1,7,107,7,30,27,81,22 ,Union Bordeaux-Bègles,2024-05-19 21:05:00
Union Bordeaux-Bègles,2,52 %,50 %,39 %,51 %,49 %,7,0,7,0,12,9,1,9,2,8,93,6,18,30,168, 18,Stade Français Paris,2024-05-19 21:05:00
Racing 92,3,45 %,43 %,38 %,58 %,44 %,7,1,4,2,8,4,3,3,1,14,172,9,16,34,136,24 ,Section Paloise,2024-06-01 15:00:00
Section Paloise,2,55 %,57 %,62 %,42 %,56 %,7,1,6,0,19,15,2,8,1,8,129,10,18,25,199, 15,Racing 92,2024-06-01 15:00:00
USA Perpignan,4,49 %,44 %,46 %,58 %,46 %,5,1,3,1,14,12,0,4,3,10,103,5,25,21,131,37 ,Union Bordeaux-Bègles,2024-06-01 17:00:00
Union Bordeaux-Bègles,3,51 %,56 %,54 %,42 %,54 %,9,2,4,3,12,11,2,5,3,13,115,1,21,15,183, 30,USA Perpignan,2024-06-01 17:00:00
Oyonnax Rugby,3,46 %,40 %,30 %,60 %,39 %,10,0,9,1,12,10,1,5,2,10,129,18,20,30,69,27 ,Aviron Bayonnais,2024-06-01 17:00:00
Aviron Bayonnais,4,54 %,60 %,70 %,40 %,61 %,5,0,4,1,14,13,2,8,0,10,95,4,16,20,135, 20,Oyonnax Rugby,2024-06-01 17:00:00
Castres Olympique,3,62 %,64 %,86 %,36 %,69 %,6,0,5,1,17,12,3,5,2,8,61,6,14,29,159,27 ,Stade Français Paris,2024-06-01 17:00:00
Stade Français Paris,2,38 %,36 %,14 %,64 %,31 %,9,2,6,1,12,9,3,5,2,14,148,7,38,36,98, 18,Castres Olympique,2024-06-01 17:00:00
Montpellier Hérault Rugby,5,56 %,67 %,76 %,33 %,68 %,9,0,6,3,16,14,0,5,2,4,87,7,24,23,181,41 ,LOU Rugby,2024-06-01 17:00:00
LOU Rugby,4,44 %,33 %,24 %,67 %,32 %,6,0,5,1,11,8,2,6,0,13,126,3,23,20,128, 26,Montpellier Hérault Rugby,2024-06-01 17:00:00
RC Toulon,6,43 %,35 %,26 %,65 %,35 %,7,0,6,1,10,10,2,4,4,11,198,21,29,31,98,52 ,ASM Clermont,2024-06-02 18:00:00
ASM Clermont,1,57 %,65 %,74 %,35 %,65 %,8,0,6,2,16,11,0,6,1,8,77,5,20,12,164, 10,RC Toulon,2024-06-02 18:00:00
Stade Toulousain,4,59 %,51 %,56 %,49 %,52 %,5,0,3,2,21,19,0,9,1,10,70,7,16,20,169,31 ,Stade Rochelais,2024-06-02 21:05:00
Stade Rochelais,4,41 %,49 %,44 %,51 %,48 %,7,2,4,1,18,15,0,3,1,15,137,1,30,27,70, 31,Stade Toulousain,2024-06-02 21:05:00
Aviron Bayonnais,2,44 %,56 %,65 %,44 %,56 %,6,1,5,0,13,12,2,7,1,12,89,15,19,29,100,17 ,Castres Olympique,2024-06-08 21:05:00
Castres Olympique,3,56 %,44 %,35 %,56 %,44 %,11,2,7,2,15,9,0,3,3,10,68,6,17,28,59, 28,Aviron Bayonnais,2024-06-08 21:05:00
Union Bordeaux-Bègles,6,57 %,58 %,62 %,42 %,56 %,4,0,4,0,15,13,0,9,0,7,126,7,17,33,216,40 ,Oyonnax Rugby,2024-06-08 21:05:00
Oyonnax Rugby,1,43 %,42 %,38 %,58 %,44 %,7,1,6,0,13,9,1,7,0,6,155,2,32,28,96, 7,Union Bordeaux-Bègles,2024-06-08 21:05:00
ASM Clermont,8,62 %,70 %,74 %,29 %,68 %,5,0,5,0,18,16,1,9,0,10,59,5,12,19,185,52 ,Montpellier Hérault Rugby,2024-06-08 21:05:00
Montpellier Hérault Rugby,2,38 %,30 %,26 %,71 %,32 %,12,2,7,3,11,6,1,6,1,13,172,18,27,24,61, 15,ASM Clermont,2024-06-08 21:05:00
Stade Rochelais,3,44 %,52 %,63 %,48 %,53 %,4,0,4,0,21,16,1,4,1,7,143,2,12,23,92,24 ,Racing 92,2024-06-08 21:05:00
Racing 92,1,56 %,48 %,37 %,52 %,47 %,6,0,6,0,12,10,3,3,4,11,85,8,10,33,107, 19,Stade Rochelais,2024-06-08 21:05:00
LOU Rugby,6,47 %,47 %,42 %,53 %,48 %,6,0,6,0,16,14,2,6,0,10,128,22,25,18,116,40 ,Stade Toulousain,2024-06-08 21:05:00
Stade Toulousain,4,53 %,53 %,58 %,47 %,52 %,9,2,5,2,14,12,0,9,0,12,94,9,30,16,140, 28,LOU Rugby,2024-06-08 21:05:00
Stade Français Paris,2,51 %,48 %,53 %,52 %,48 %,5,1,3,1,13,13,1,3,3,16,111,21,15,36,88,23 ,RC Toulon,2024-06-08 21:05:00
RC Toulon,2,49 %,52 %,47 %,48 %,52 %,5,2,3,0,20,16,0,1,2,9,86,3,11,34,101, 20,Stade Français Paris,2024-06-08 21:05:00
Section Paloise,5,44 %,50 %,54 %,48 %,51 %,8,3,2,3,12,10,1,3,1,11,183,11,41,17,139,36 ,USA Perpignan,2024-06-08 21:05:00
USA Perpignan,4,56 %,50 %,46 %,52 %,49 %,9,2,4,3,13,10,0,4,0,13,147,12,33,13,169, 24,Section Paloise,2024-06-08 21:05:00
RC Toulon,2,62 %,65 %,66 %,35 %,67 %,4,1,3,0,25,22,1,6,5,6,60,9,14,26,180,29 ,Stade Rochelais,2024-06-15 21:05:00
Stade Rochelais,4,38 %,35 %,34 %,65 %,33 %,6,2,4,0,10,4,2,4,2,13,159,7,19,37,63, 34,RC Toulon,2024-06-15 21:05:00
Union Bordeaux-Bègles,3,44 %,53 %,78 %,48 %,53 %,6,1,4,1,17,13,1,5,4,11,108,9,23,32,78,31 ,Racing 92,2024-06-16 21:05:00
Racing 92,1,56 %,47 %,22 %,52 %,47 %,6,0,5,1,11,7,2,2,4,11,76,14,20,32,161, 17,Union Bordeaux-Bègles,2024-06-16 21:05:00
FC Grenoble Rugby,2,49 %,52 %,46 %,47 %,52 %,5,0,5,0,19,17,2,5,2,9,138,6,17,33,141,18 ,Montpellier Hérault Rugby,2024-06-16 18:00:00
Montpellier Hérault Rugby,2,51 %,48 %,54 %,53 %,48 %,3,1,2,0,15,12,1,4,2,9,132,14,18,34,141, 20,FC Grenoble Rugby,2024-06-16 18:00:00
Stade Toulousain,5,51 %,61 %,69 %,39 %,62 %,3,0,3,0,15,14,1,3,2,15,89,11,7,26,111,39 ,Stade Rochelais,2024-06-21 20:15:00
Stade Rochelais,2,49 %,39 %,31 %,61 %,38 %,8,1,6,1,18,15,0,3,3,9,117,12,19,30,93, 23,Stade Toulousain,2024-06-21 20:15:00
Stade Français Paris,3,59 %,46 %,51 %,55 %,46 %,12,0,8,4,21,19,3,4,1,8,79,12,13,46,120,20 ,Union Bordeaux-Bègles,2024-06-22 21:05:00
Union Bordeaux-Bègles,3,41 %,54 %,49 %,45 %,54 %,0,0,0,0,21,14,2,6,1,11,125,5,20,47,92, 22,Stade Français Paris,2024-06-22 21:05:00
Stade Toulousain,9,63 %,53 %,62 %,47 %,52 %,3,0,3,0,17,16,2,5,2,7,87,3,10,35,168,59 ,Union Bordeaux-Bègles,2024-06-28 21:05:00
Union Bordeaux-Bègles,0,37 %,47 %,38 %,53 %,48 %,8,1,7,0,10,8,0,9,1,10,132,4,31,17,110, 3,Stade Toulousain,2024-06-28 21:05:00
Racing 92,3,50 %,44 %,70 %,64 %,45 %,4,1,3,0,17,15,1,5,2,9,86,4,17,47,96,25 ,Castres Olympique,2022-09-03 15:00:00
Castres Olympique,1,50 %,56 %,30 %,36 %,55 %,6,2,4,0,15,8,0,2,4,14,104,3,17,41,74, 19,Racing 92,2022-09-03 15:00:00
CA Brive,2,50 %,40 %,38 %,60 %,34 %,3,0,3,0,15,13,3,10,2,8,128,3,34,19,93,27 ,LOU Rugby,2022-09-03 17:00:00
LOU Rugby,4,50 %,60 %,62 %,40 %,66 %,15,1,13,1,13,7,1,1,1,11,83,8,14,26,158, 31,CA Brive,2022-09-03 17:00:00
RC Toulon,5,50 %,59 %,46 %,41 %,58 %,8,0,7,1,13,10,0,2,3,11,80,0,6,20,124,40 ,Aviron Bayonnais,2022-09-03 17:00:00
Aviron Bayonnais,3,50 %,41 %,54 %,59 %,42 %,7,2,3,2,15,14,0,3,1,13,74,1,13,16,96, 25,RC Toulon,2022-09-03 17:00:00
Section Paloise,1,50 %,45 %,39 %,57 %,46 %,8,3,4,1,14,9,3,3,3,11,100,6,6,25,69,16 ,USA Perpignan,2022-09-03 17:00:00
USA Perpignan,2,50 %,55 %,61 %,43 %,54 %,9,2,5,2,14,10,1,5,0,14,80,1,11,19,90, 14,Section Paloise,2022-09-03 17:00:00
Stade Français Paris,2,50 %,53 %,92 %,46 %,53 %,10,1,7,2,8,6,1,3,4,15,100,4,14,16,79,24 ,ASM Clermont,2022-09-03 17:00:00
ASM Clermont,2,50 %,47 %,8 %,54 %,47 %,9,1,7,1,14,10,0,4,2,12,73,2,10,12,92, 18,Stade Français Paris,2022-09-03 17:00:00
Stade Rochelais,1,50 %,47 %,57 %,57 %,45 %,16,0,13,3,10,7,0,0,4,13,66,2,3,17,119,26 ,Montpellier Hérault Rugby,2022-09-03 21:05:00
Montpellier Hérault Rugby,1,50 %,53 %,43 %,43 %,55 %,0,0,0,0,15,14,0,4,5,18,193,11,11,18,53, 22,Stade Rochelais,2022-09-03 21:05:00
Union Bordeaux-Bègles,3,50 %,56 %,41 %,39 %,56 %,5,0,5,0,9,8,3,2,2,8,136,9,36,28,133,25 ,Stade Toulousain,2022-09-04 21:05:00
Stade Toulousain,2,50 %,44 %,59 %,61 %,44 %,4,0,3,1,17,14,1,3,4,7,100,5,17,29,173, 26,Union Bordeaux-Bègles,2022-09-04 21:05:00
LOU Rugby,3,50 %,56 %,62 %,51 %,54 %,9,0,7,2,12,10,1,5,0,11,107,1,12,25,159,21 ,Stade Rochelais,2022-09-10 15:00:00
Stade Rochelais,2,50 %,44 %,38 %,49 %,46 %,9,1,8,0,10,9,1,4,3,8,107,2,22,28,119, 23,LOU Rugby,2022-09-10 15:00:00
ASM Clermont,4,50 %,61 %,52 %,42 %,60 %,5,1,3,1,12,8,2,8,3,13,106,2,24,25,122,33 ,Section Paloise,2022-09-10 17:00:00
Section Paloise,1,50 %,39 %,48 %,58 %,40 %,16,3,11,2,12,8,1,3,4,10,96,2,14,22,127, 24,ASM Clermont,2022-09-10 17:00:00
Aviron Bayonnais,3,50 %,48 %,48 %,54 %,47 %,7,0,6,1,10,6,0,4,4,8,66,3,20,27,76,31 ,Racing 92,2022-09-10 17:00:00
Racing 92,3,50 %,52 %,52 %,46 %,53 %,6,2,4,0,18,17,1,4,2,9,54,4,7,26,96, 25,Aviron Bayonnais,2022-09-10 17:00:00
Castres Olympique,3,50 %,57 %,38 %,42 %,57 %,10,1,7,2,11,6,1,3,3,13,105,2,20,28,90,30 ,Stade Français Paris,2022-09-10 17:00:00
Stade Français Paris,2,50 %,43 %,62 %,58 %,43 %,9,0,7,2,12,11,3,4,2,11,66,1,12,23,103, 20,Castres Olympique,2022-09-10 17:00:00
USA Perpignan,0,50 %,48 %,39 %,52 %,47 %,11,4,6,1,17,8,2,6,2,9,121,5,18,10,111,6 ,CA Brive,2022-09-10 17:00:00
CA Brive,3,50 %,52 %,61 %,48 %,53 %,8,1,7,0,18,11,4,1,0,14,124,10,13,20,104, 17,USA Perpignan,2022-09-10 17:00:00
Montpellier Hérault Rugby,2,50 %,39 %,33 %,62 %,45 %,10,1,7,2,9,6,2,5,5,8,141,9,21,35,84,29 ,Union Bordeaux-Bègles,2022-09-10 21:05:00
Union Bordeaux-Bègles,3,50 %,61 %,67 %,38 %,55 %,8,1,7,0,20,16,0,6,0,11,73,2,11,23,170, 19,Montpellier Hérault Rugby,2022-09-10 21:05:00
Stade Toulousain,4,50 %,58 %,62 %,45 %,58 %,6,1,5,0,11,10,0,8,2,7,118,5,21,24,124,28 ,RC Toulon,2022-09-11 21:05:00
RC Toulon,1,50 %,42 %,38 %,55 %,42 %,11,3,7,1,9,9,0,1,1,14,111,1,24,16,146, 8,Stade Toulousain,2022-09-11 21:05:00
Union Bordeaux-Bègles,2,50 %,42 %,58 %,57 %,42 %,10,2,7,1,15,12,1,0,7,14,90,4,16,25,143,33 ,Castres Olympique,2022-09-17 15:00:00
Castres Olympique,0,50 %,58 %,42 %,43 %,58 %,2,1,0,1,13,10,3,6,4,19,139,0,26,24,107, 12,Union Bordeaux-Bègles,2022-09-17 15:00:00
CA Brive,2,50 %,49 %,23 %,54 %,48 %,6,0,6,0,19,16,2,2,4,8,97,0,16,30,168,26 ,Montpellier Hérault Rugby,2022-09-17 17:00:00
Montpellier Hérault Rugby,3,50 %,51 %,77 %,46 %,52 %,5,1,4,0,11,8,0,3,4,14,164,5,14,35,96, 31,CA Brive,2022-09-17 17:00:00
Racing 92,3,50 %,44 %,56 %,53 %,45 %,11,0,10,1,12,8,3,4,5,7,139,3,24,23,88,32 ,LOU Rugby,2022-09-17 17:00:00
LOU Rugby,3,50 %,56 %,44 %,47 %,55 %,8,1,7,0,9,4,0,6,0,9,85,3,17,26,160, 19,Racing 92,2022-09-17 17:00:00
Stade Français Paris,1,50 %,46 %,40 %,58 %,44 %,7,0,7,0,15,11,4,5,4,8,62,4,15,25,132,26 ,Aviron Bayonnais,2022-09-17 17:00:00
Aviron Bayonnais,1,50 %,54 %,60 %,42 %,56 %,10,2,7,1,13,7,0,4,3,15,171,6,13,25,80, 16,Stade Français Paris,2022-09-17 17:00:00
Stade Rochelais,7,50 %,58 %,64 %,44 %,58 %,10,1,8,1,20,19,0,5,0,5,87,2,10,14,156,43 ,USA Perpignan,2022-09-17 17:00:00
USA Perpignan,1,50 %,42 %,36 %,56 %,42 %,9,2,5,2,14,13,0,3,1,16,111,1,26,17,103, 8,Stade Rochelais,2022-09-17 17:00:00
Section Paloise,2,50 %,38 %,10 %,66 %,41 %,8,0,6,2,14,12,1,1,4,13,120,6,21,25,117,26 ,Stade Toulousain,2022-09-17 21:05:00
Stade Toulousain,1,50 %,62 %,90 %,34 %,59 %,9,0,8,1,8,5,0,3,2,14,96,7,31,23,142, 16,Section Paloise,2022-09-17 21:05:00
RC Toulon,3,50 %,41 %,30 %,61 %,44 %,12,0,11,1,10,5,0,1,3,9,153,1,22,22,77,30 ,ASM Clermont,2022-09-18 21:05:00
ASM Clermont,3,50 %,59 %,70 %,39 %,56 %,5,1,3,1,13,12,3,4,1,15,91,7,17,18,126, 29,RC Toulon,2022-09-18 21:05:00
USA Perpignan,1,50 %,50 %,49 %,51 %,51 %,11,1,10,0,10,6,3,5,4,10,87,10,17,32,58,19 ,RC Toulon,2022-09-24 15:00:00
RC Toulon,1,50 %,50 %,51 %,49 %,49 %,9,0,7,2,15,8,2,7,2,10,74,5,14,31,102, 13,USA Perpignan,2022-09-24 15:00:00
Aviron Bayonnais,2,50 %,51 %,72 %,52 %,50 %,11,2,7,2,14,9,2,1,2,14,130,4,14,33,59,20 ,Union Bordeaux-Bègles,2022-09-24 17:00:00
Union Bordeaux-Bègles,2,50 %,49 %,28 %,48 %,50 %,6,2,4,0,21,12,5,3,1,11,74,1,6,28,109, 15,Aviron Bayonnais,2022-09-24 17:00:00
Castres Olympique,0,50 %,72 %,76 %,23 %,68 %,6,0,6,0,14,9,2,6,4,8,78,1,10,34,109,12 ,CA Brive,2022-09-24 17:00:00
CA Brive,0,50 %,28 %,24 %,77 %,32 %,11,2,7,2,12,8,4,3,2,13,122,7,17,34,81, 6,Castres Olympique,2022-09-24 17:00:00
LOU Rugby,3,50 %,50 %,96 %,51 %,51 %,6,1,4,1,12,8,1,2,4,17,108,4,3,18,84,33 ,Stade Français Paris,2022-09-24 17:00:00
Stade Français Paris,2,50 %,50 %,4 %,49 %,49 %,6,1,4,1,21,19,1,1,5,11,56,3,13,19,102, 27,LOU Rugby,2022-09-24 17:00:00
Montpellier Hérault Rugby,6,50 %,54 %,69 %,45 %,53 %,3,0,3,0,16,12,2,6,1,8,80,5,7,25,166,43 ,Section Paloise,2022-09-24 17:00:00
Section Paloise,2,50 %,46 %,31 %,55 %,47 %,12,2,7,3,11,8,3,2,1,16,148,4,19,20,92, 17,Montpellier Hérault Rugby,2022-09-24 17:00:00
Stade Toulousain,4,50 %,52 %,63 %,48 %,52 %,10,1,8,1,9,6,0,2,3,5,112,6,13,28,101,37 ,Racing 92,2022-09-24 21:05:00
Racing 92,1,50 %,48 %,37 %,52 %,48 %,7,2,4,1,15,13,2,4,1,12,61,2,22,25,108, 10,Stade Toulousain,2022-09-24 21:05:00
ASM Clermont,2,50 %,47 %,22 %,51 %,51 %,10,1,9,0,13,11,5,0,4,12,185,16,23,33,100,22 ,Stade Rochelais,2022-09-25 21:05:00
Stade Rochelais,1,50 %,53 %,78 %,49 %,49 %,3,0,2,1,17,11,2,3,2,10,84,0,9,25,138, 13,ASM Clermont,2022-09-25 21:05:00
Union Bordeaux-Bègles,0,50 %,39 %,28 %,63 %,44 %,13,2,8,3,10,6,2,1,5,9,142,7,20,44,79,15 ,Stade Français Paris,2022-10-01 15:00:00
Stade Français Paris,1,50 %,61 %,72 %,37 %,56 %,10,0,7,3,16,13,2,7,1,9,106,3,15,41,120, 10,Union Bordeaux-Bègles,2022-10-01 15:00:00
ASM Clermont,6,50 %,64 %,69 %,37 %,65 %,9,0,9,0,12,7,1,2,1,8,117,5,22,24,125,43 ,LOU Rugby,2022-10-01 17:00:00
LOU Rugby,3,50 %,36 %,31 %,63 %,35 %,7,0,7,0,12,7,1,5,1,8,92,1,21,22,134, 20,ASM Clermont,2022-10-01 17:00:00
CA Brive,3,50 %,40 %,54 %,60 %,42 %,4,0,4,0,18,15,3,3,2,12,120,5,8,17,84,25 ,Aviron Bayonnais,2022-10-01 17:00:00
Aviron Bayonnais,3,50 %,60 %,46 %,40 %,58 %,8,2,5,1,17,9,0,2,1,16,81,3,13,25,97, 22,CA Brive,2022-10-01 17:00:00
Section Paloise,2,50 %,54 %,59 %,46 %,54 %,9,3,6,0,13,10,2,2,1,12,114,0,22,18,123,17 ,RC Toulon,2022-10-01 17:00:00
RC Toulon,4,50 %,46 %,41 %,54 %,46 %,8,1,4,3,13,9,1,6,2,8,115,6,17,16,107, 34,Section Paloise,2022-10-01 17:00:00
USA Perpignan,1,50 %,57 %,48 %,44 %,57 %,10,2,7,1,16,15,1,3,3,12,95,5,14,25,107,14 ,Castres Olympique,2022-10-01 17:00:00
Castres Olympique,1,50 %,43 %,52 %,56 %,43 %,5,1,4,0,19,16,0,6,1,12,104,4,12,22,104, 10,USA Perpignan,2022-10-01 17:00:00
Stade Rochelais,3,50 %,56 %,49 %,43 %,52 %,16,1,11,4,10,8,0,7,1,6,33,2,6,17,80,24 ,Racing 92,2022-10-01 21:05:00
Racing 92,1,50 %,44 %,51 %,57 %,48 %,10,0,8,2,8,5,2,3,4,14,154,1,24,24,51, 19,Stade Rochelais,2022-10-01 21:05:00
Montpellier Hérault Rugby,2,50 %,52 %,59 %,48 %,53 %,6,1,3,2,18,16,1,4,1,12,86,5,13,24,127,17 ,Stade Toulousain,2022-10-02 21:05:00
Stade Toulousain,1,50 %,48 %,41 %,52 %,47 %,7,0,6,1,11,10,2,1,4,13,143,2,18,32,79, 19,Montpellier Hérault Rugby,2022-10-02 21:05:00
Castres Olympique,2,50 %,60 %,56 %,38 %,59 %,6,2,4,0,13,11,1,4,4,11,114,4,13,26,94,26 ,Montpellier Hérault Rugby,2022-10-08 15:00:00
Montpellier Hérault Rugby,1,50 %,40 %,44 %,62 %,41 %,7,1,5,1,13,11,2,2,2,11,89,3,7,22,112, 13,Castres Olympique,2022-10-08 15:00:00
Aviron Bayonnais,3,50 %,60 %,30 %,35 %,59 %,8,0,6,2,18,14,3,1,4,15,168,2,14,34,94,29 ,Stade Rochelais,2022-10-08 17:00:00
Stade Rochelais,2,50 %,40 %,70 %,65 %,41 %,2,0,2,0,19,13,3,5,1,9,77,2,18,27,126, 13,Aviron Bayonnais,2022-10-08 17:00:00
Racing 92,2,50 %,58 %,91 %,42 %,56 %,6,1,5,0,7,4,6,5,4,11,100,9,19,35,188,26 ,Section Paloise,2022-10-08 17:00:00
Section Paloise,1,50 %,42 %,9 %,58 %,44 %,8,1,6,1,20,13,1,4,2,10,155,2,34,20,75, 13,Racing 92,2022-10-08 17:00:00
RC Toulon,7,50 %,50 %,70 %,50 %,50 %,7,2,5,0,16,13,1,4,0,12,146,2,14,24,113,47 ,CA Brive,2022-10-08 17:00:00
CA Brive,0,50 %,50 %,30 %,50 %,50 %,5,1,3,1,23,22,3,4,0,12,103,0,25,17,133, 0,RC Toulon,2022-10-08 17:00:00
Stade Français Paris,8,50 %,53 %,56 %,47 %,55 %,4,0,3,1,16,16,1,10,0,8,99,5,16,14,162,52 ,USA Perpignan,2022-10-08 17:00:00
USA Perpignan,0,50 %,47 %,44 %,53 %,45 %,11,1,9,1,12,7,0,1,1,12,160,0,45,18,97, 3,Stade Français Paris,2022-10-08 17:00:00
Stade Toulousain,6,50 %,48 %,45 %,53 %,48 %,7,0,6,1,16,13,0,4,2,7,94,1,22,23,116,46 ,ASM Clermont,2022-10-08 21:05:00
ASM Clermont,1,50 %,52 %,55 %,47 %,52 %,6,1,5,0,11,10,3,2,1,13,100,2,29,15,120, 10,Stade Toulousain,2022-10-08 21:05:00
LOU Rugby,3,50 %,43 %,40 %,59 %,44 %,7,1,5,1,13,10,0,2,5,11,100,4,8,25,109,36 ,Union Bordeaux-Bègles,2022-10-09 21:05:00
Union Bordeaux-Bègles,2,50 %,57 %,60 %,41 %,56 %,3,1,2,0,16,14,3,4,3,13,124,7,18,21,87, 21,LOU Rugby,2022-10-09 21:05:00
CA Brive,1,50 %,44 %,55 %,58 %,44 %,9,3,5,1,13,12,3,5,0,6,76,6,18,22,131,7 ,Stade Toulousain,2022-10-15 15:00:00
Stade Toulousain,6,50 %,56 %,45 %,42 %,56 %,11,1,8,2,17,8,0,4,0,9,126,6,12,22,119, 45,CA Brive,2022-10-15 15:00:00
Castres Olympique,2,50 %,44 %,41 %,52 %,45 %,8,1,7,0,5,5,2,6,5,13,72,1,7,20,115,39 ,Aviron Bayonnais,2022-10-15 17:00:00
Aviron Bayonnais,1,50 %,56 %,59 %,48 %,55 %,11,0,8,3,9,5,0,5,5,11,136,0,14,15,70, 22,Castres Olympique,2022-10-15 17:00:00
Montpellier Hérault Rugby,2,50 %,44 %,18 %,53 %,44 %,3,0,3,0,17,13,1,4,4,11,122,3,22,31,138,26 ,LOU Rugby,2022-10-15 17:00:00
LOU Rugby,3,50 %,56 %,82 %,47 %,56 %,5,0,5,0,12,8,2,2,4,15,105,7,15,30,106, 33,Montpellier Hérault Rugby,2022-10-15 17:00:00
Section Paloise,2,50 %,38 %,11 %,64 %,42 %,9,4,3,2,15,13,1,4,5,10,115,4,21,19,60,29 ,Stade Français Paris,2022-10-15 17:00:00
Stade Français Paris,4,50 %,62 %,89 %,36 %,58 %,6,2,3,1,16,13,1,5,1,15,70,3,9,22,126, 31,Section Paloise,2022-10-15 17:00:00
USA Perpignan,1,50 %,45 %,78 %,55 %,45 %,9,3,5,1,18,11,1,2,1,11,82,4,19,13,99,10 ,ASM Clermont,2022-10-15 17:00:00
ASM Clermont,1,50 %,55 %,22 %,45 %,55 %,7,2,4,1,15,13,5,3,5,11,131,8,20,22,111, 20,USA Perpignan,2022-10-15 17:00:00
Union Bordeaux-Bègles,2,50 %,65 %,50 %,37 %,71 %,11,1,9,1,11,9,1,4,5,12,85,2,13,20,106,29 ,Racing 92,2022-10-15 21:05:00
Racing 92,1,50 %,35 %,50 %,63 %,29 %,8,0,7,1,16,9,0,5,4,12,108,1,21,18,113, 17,Union Bordeaux-Bègles,2022-10-15 21:05:00
Stade Rochelais,4,50 %,42 %,20 %,58 %,42 %,10,3,6,1,20,15,1,3,2,13,76,2,16,26,91,32 ,RC Toulon,2022-10-16 21:05:00
RC Toulon,1,50 %,58 %,80 %,42 %,58 %,6,0,5,1,13,11,2,5,0,15,116,3,14,20,60, 5,Stade Rochelais,2022-10-16 21:05:00
Racing 92,4,50 %,49 %,91 %,50 %,50 %,3,0,3,0,16,15,1,5,4,11,113,2,13,28,104,38 ,Montpellier Hérault Rugby,2022-10-22 15:00:00
Montpellier Hérault Rugby,4,50 %,51 %,9 %,50 %,50 %,8,2,5,1,21,15,0,2,1,12,93,2,14,24,103, 31,Racing 92,2022-10-22 15:00:00
Aviron Bayonnais,2,50 %,57 %,65 %,44 %,56 %,5,1,4,0,16,14,1,3,4,12,137,6,21,24,156,24 ,USA Perpignan,2022-10-22 17:00:00
USA Perpignan,2,50 %,43 %,35 %,56 %,44 %,8,3,5,0,16,15,1,2,2,11,144,7,39,22,120, 20,Aviron Bayonnais,2022-10-22 17:00:00
LOU Rugby,4,50 %,49 %,48 %,52 %,48 %,5,0,4,1,14,10,0,4,1,6,113,3,16,25,146,31 ,Section Paloise,2022-10-22 17:00:00
Section Paloise,3,50 %,51 %,52 %,48 %,52 %,6,0,4,2,14,14,1,3,2,10,113,4,27,20,115, 27,LOU Rugby,2022-10-22 17:00:00
RC Toulon,3,50 %,49 %,53 %,51 %,49 %,8,1,7,0,14,12,0,4,3,9,71,3,12,26,91,28 ,Castres Olympique,2022-10-22 17:00:00
